term,k,status,beta_RE,se_RE,z_RE,p_RE,ci95_lo,ci95_hi,tau2,I2,Q,Q_df,Q_p
debt_imp,76,ok,0.0017315607383891216,0.0039113526009749225,0.44270126348555794,0.657981828439701,-0.005934549490358791,0.009397670967137034,5.5982072845452e-4,83.35851093864122,210.08668698651647,75,9.754819482104827e-15
gdp_x_debt,76,ok,0.004467192252801496,0.005611942603577505,0.7960153138333502,0.42602313451567353,-0.006532013133516355,0.015466397639119348,1.6408812546916014e-6,0.05540416603711501,124.04748578485649,75,3.1902519264085175e-4
growth,76,ok,-0.0027590813274339272,0.0029307675067895013,-0.9414193794090316,0.34648998625188543,-0.008503280087801598,0.0029851174329337433,3.818542146825739e-6,0.5131536903783325,110.79178934745914,75,0.004555619927332912
hc,76,ok,-0.0063487322225266336,0.00699340317059715,-0.9078172768901769,0.36397476881027385,-0.02005555056626527,0.007358086121212002,0.0012606857686695465,90.08251301878695,339.69468597335333,75,2.423328379708779e-35
