spec,dv,variable,k,estimate,se,z,p_value,ci_lo,ci_hi,tau2,i2,q,q_p,estimate_pp
Baseline (p=2),gini,gdp_x_debt,52,-4.025379094354159,3.4233994372281216,-1.1758426582010109,0.23965775640471162,-10.735118696015967,2.684360507307648,0,0,103.4928167146248,1.965169792782965e-5,-0.04025379094354159
Baseline (p=2),gini,growth,52,0.20290543070924297,6.336754813234143,0.03202040108692235,0.97445578152371215,-12.216905782090512,12.622716643509,724.3204363425282,73.46625206836364,97.76562962506407,8.953792261722307e-5,0.00202905430709243
Baseline (p=2),gini,life_exp,52,-0.020881979239151274,0.12344076888830904,-0.1691659848461053,0.86566608430776,-0.2628214404841694,0.22105748200586683,0.5295499478899242,96.96125735732322,757.9673586671379,1.333882361077073e-126,-2.0881979239151274e-4
Baseline (p=2),gini,public_debt,52,-0.5294229474517049,1.354005912885134,-0.3910049006533534,0.6957936134619361,-3.183225771560845,2.1243798766574353,48.645808406454,89.20753285363404,426.663205234992,9.468819549126261e-61,-0.005294229474517049
Baseline (p=2),p90p100,gdp_x_debt,68,-0.019596242092152043,0.03449111899139512,-0.5681532714853622,0.5699308979243627,-0.08719759310177194,0.04800510891746786,0.003163240329022967,4.678752202440752,82.83926148008268,0.09178394676439898,-0.019596242092152043
Baseline (p=2),p90p100,growth,68,0.029286514361376755,0.01452870952392936,2.0157684557696403,0.04382419351897184,8.107669526311347e-4,0.05776226177012238,0,0,65.2146940836837,0.5389774549187231,0.029286514361376755
Baseline (p=2),p90p100,life_exp,68,7.49403402046095e-4,9.306026877413869e-4,0.8052882416070918,0.4206533655222553,-0.0010745443498431971,0.002573351153935387,4.293261246941876e-5,95.83229444899699,1161.7378077004587,2.5796116236298613e-199,7.49403402046095e-4
Baseline (p=2),p90p100,public_debt,68,-0.011936279922412934,0.009882268933495822,-1.2078481169395288,0.22710568941448553,-0.031305171117603794,0.007432611272777926,0.00360874024305724,83.88389042964965,269.5349307791262,4.202401017468619e-26,-0.011936279922412934
Baseline (p=2),p99p100,gdp_x_debt,68,-0.03059511918448012,0.011005599147544141,-2.7799594346762397,0.005436568921992553,-0.05216569714195135,-0.009024541227008884,0,0,87.33152656758536,0.04835046135263928,-0.03059511918448012
Baseline (p=2),p99p100,growth,68,0.020306899990147127,0.008396492118444787,2.418498070823939,0.01558472820218561,0.0038500778415209262,0.036763722138773325,0,0,81.14308094835916,0.11473296578060917,0.020306899990147127
Baseline (p=2),p99p100,life_exp,68,0.001349911820245068,2.3817899706941298e-4,5.667635840500497,1.4478126327092959e-8,8.830895641151475e-4,0.0018167340763749883,1.5824413758460374e-6,75.3535139286139,725.5634796719114,3.1420782181487604e-111,0.001349911820245068
Baseline (p=2),p99p100,public_debt,68,0.004065982581074514,0.005477743072828284,0.7422733280871375,0.4579217483679967,-0.006670196558232689,0.014802161720381717,9.33466240042636e-4,83.71445864557722,215.71116545763437,1.5916735524047945e-17,0.004065982581074514
Baseline (p=3),gini,gdp_x_debt,52,-4.025379094354159,3.4233994372281216,-1.1758426582010109,0.23965775640471162,-10.735118696015967,2.684360507307648,0,0,103.4928167146248,1.965169792782965e-5,-0.04025379094354159
Baseline (p=3),gini,growth,52,0.20290543070924297,6.336754813234143,0.03202040108692235,0.97445578152371215,-12.216905782090512,12.622716643509,724.3204363425282,73.46625206836364,97.76562962506407,8.953792261722307e-5,0.00202905430709243
Baseline (p=3),gini,life_exp,52,-0.020881979239151274,0.12344076888830904,-0.1691659848461053,0.86566608430776,-0.2628214404841694,0.22105748200586683,0.5295499478899242,96.96125735732322,757.9673586671379,1.333882361077073e-126,-2.0881979239151274e-4
Baseline (p=3),gini,public_debt,52,-0.5294229474517049,1.354005912885134,-0.3910049006533534,0.6957936134619361,-3.183225771560845,2.1243798766574353,48.645808406454,89.20753285363404,426.663205234992,9.468819549126261e-61,-0.005294229474517049
Baseline (p=3),p90p100,gdp_x_debt,68,-0.019596242092152043,0.03449111899139512,-0.5681532714853622,0.5699308979243627,-0.08719759310177194,0.04800510891746786,0.003163240329022967,4.678752202440752,82.83926148008268,0.09178394676439898,-0.019596242092152043
Baseline (p=3),p90p100,growth,68,0.029286514361376755,0.01452870952392936,2.0157684557696403,0.04382419351897184,8.107669526311347e-4,0.05776226177012238,0,0,65.2146940836837,0.5389774549187231,0.029286514361376755
Baseline (p=3),p90p100,life_exp,68,7.49403402046095e-4,9.306026877413869e-4,0.8052882416070918,0.4206533655222553,-0.0010745443498431971,0.002573351153935387,4.293261246941876e-5,95.83229444899699,1161.7378077004587,2.5796116236298613e-199,7.49403402046095e-4
Baseline (p=3),p90p100,public_debt,68,-0.011936279922412934,0.009882268933495822,-1.2078481169395288,0.22710568941448553,-0.031305171117603794,0.007432611272777926,0.00360874024305724,83.88389042964965,269.5349307791262,4.202401017468619e-26,-0.011936279922412934
Baseline (p=3),p99p100,gdp_x_debt,68,-0.03059511918448012,0.011005599147544141,-2.7799594346762397,0.005436568921992553,-0.05216569714195135,-0.009024541227008884,0,0,87.33152656758536,0.04835046135263928,-0.03059511918448012
Baseline (p=3),p99p100,growth,68,0.020306899990147127,0.008396492118444787,2.418498070823939,0.01558472820218561,0.0038500778415209262,0.036763722138773325,0,0,81.14308094835916,0.11473296578060917,0.020306899990147127
Baseline (p=3),p99p100,life_exp,68,0.001349911820245068,2.3817899706941298e-4,5.667635840500497,1.4478126327092959e-8,8.830895641151475e-4,0.0018167340763749883,1.5824413758460374e-6,75.3535139286139,725.5634796719114,3.1420782181487604e-111,0.001349911820245068
Baseline (p=3),p99p100,public_debt,68,0.004065982581074514,0.005477743072828284,0.7422733280871375,0.4579217483679967,-0.006670196558232689,0.014802161720381717,9.33466240042636e-4,83.71445864557722,215.71116545763437,1.5916735524047945e-17,0.004065982581074514
Composition,gini,gdp_x_debt,36,10.540734153469225,12.961381170342511,0.8132415839747024,0.4160795619411962,-14.863106130297707,35.944574437236156,2874.8213304321976,78.52319380772067,109.42045310346296,1.3691801762004346e-9,0.10540734153469225
Composition,gini,growth,36,-4.1303031026622135,6.247960530392407,-0.6610642116848979,0.508571135236402,-16.376080719059104,8.115474513734679,674.5945696506182,73.36405631884175,94.57431920403698,2.2058236327903635e-7,-0.04130303102662213
Composition,gini,life_exp,36,-0.0013422265819677606,0.1894180472024384,-0.007086054374392695,0.9943461939326774,-0.3725947771206549,0.3699103239567194,0.9728436935768054,96.53158710358652,597.1457552577212,1.8269476582572634e-103,-1.3422265819677606e-5
Composition,gini,military_exp,36,16.763597265652095,42.510225242203845,0.39434270625810086,0.6933280373838544,-66.55491318375293,100.08210771505712,38614.18057445513,90.6682374474254,210.71886738269123,5.721714446047515e-27,0.16763597265652094
Composition,gini,nonmil_g,36,-9.309385085065601,7.8908200898257235,-1.1797740892697515,0.23809007751169176,-24.775108269609134,6.15633809947793,1423.2089306467665,93.2007904829733,402.2590138760207,5.7840399247920034e-64,-0.09309385085065601
Composition,gini,public_debt,36,-0.40277797214085537,1.1735889250848537,-0.343201919796349,0.7314465605087661,-2.702969997962244,1.8974140536805333,27.81756898911731,87.2623269041441,151.0880032279924,2.2613188026228313e-16,-0.004027779721408554
Composition,p90p100,gdp_x_debt,57,-0.06987780619742844,0.048256603713888235,-1.44804650181624,0.1476040458462699,-0.16445901149287118,0.024703399098014306,0.0236678985540086,35.70621047287496,95.58633505774515,7.740633613891666e-4,-0.06987780619742844
Composition,p90p100,growth,57,0.06325336120128633,0.03304817732873164,1.9139742737429188,0.05562344298822371,-0.0015198761177208087,0.12802659852029347,0.014740068672829303,43.52208653628376,103.41040189296511,1.195353901305868e-4,0.06325336120128633
Composition,p90p100,life_exp,57,5.425966658518099e-4,5.69631027398399e-4,0.9525405740799275,0.34082289888032324,-5.738596323256009e-4,0.0016590529640292207,7.183544651512936e-6,69.96995331747985,388.7028061057676,2.5923175110613546e-51,5.425966658518099e-4
Composition,p90p100,military_exp,57,-0.10748331737305386,0.4122449331484252,-0.260726836718586,0.7943031689494026,-0.9154685391530893,0.7005019044069817,5.8861815213104665,95.37825582762322,272.5181043264121,3.2305456504004495e-30,-0.10748331737305386
Composition,p90p100,nonmil_g,57,-0.10071226026676204,0.055830856878933945,-1.803881686522399,0.0712498564932093,-0.21013872897548289,0.008714208441958804,0.09676281877874414,89.88728099111033,322.8217371858602,3.599263500382721e-39,-0.10071226026676204
Composition,p90p100,public_debt,57,8.550035708923881e-4,0.0090733220848068109,0.09423269260154263,0.9249243153711191,-0.016928380935460837,0.018638388077245615,0.0024764587880704942,85.49178252209533,181.24118298095186,4.008499303304704e-15,8.550035708923881e-4
Composition,p99p100,gdp_x_debt,52,-0.07537300614404112,0.050640376077497946,-1.4883974405856184,0.13664611117220585,-0.1746263194195008,0.023880307131418574,0.039918486461966995,70.4900041382938,108.37962921929203,5.101871078971909e-6,-0.07537300614404112
Composition,p99p100,growth,52,0.06280656691399975,0.038079642930799004,1.6493475799690727,0.09907644727737261,-0.01182816177451157,0.13744129560251106,0.03209345397281363,69.82110602129062,124.83485737660064,3.9593225256527917e-8,0.06280656691399975
Composition,p99p100,life_exp,52,4.6837338603494745e-4,3.654739668197575e-4,1.2815506125117178,0.20000033451156665,-2.479424262187639e-4,0.0011846891982886588,2.1011531349488484e-06,54.41737447497066,235.98792485131747,1.3391389370336231e-25,4.6837338603494745e-4
Composition,p99p100,military_exp,52,0.04423689642302872,0.20753167221763688,0.21315732654357367,0.8312042518136127,-0.36251770677491124,0.45099149962096874,1.143273147197461,87.5970920189856,158.4261192893601,6.11728848852477e-13,0.04423689642302872
Composition,p99p100,nonmil_g,52,-0.025419886962515126,0.03277870001000008,-0.775500155734061,0.4380441734800161,-0.08966495844215798,0.03882518451712773,0.026169323866704498,81.70541236353421,167.53204861533752,2.4769261312788702e-14,-0.025419886962515126
Composition,p99p100,public_debt,52,0.0021664698868176543,0.005800521963818648,0.37349567854948795,0.708779561043301,-0.00920234425380044,0.01353528402743575,7.681547080161949e-4,84.66507019934647,176.92465816188042,8.427901899874142e-16,0.0021664698868176543
