spec,dv,country,income_group,variable,sum_beta,sum_phi,longrun_multiplier,se,t_stat,p_value,ci_lo,ci_hi
Baseline (p=3),p90p100,Algeria,Lower middle income,public_debt,-7.446982703215323e-4,0.835155760690151,-0.004517587471902868,0.03345460837336499,-0.1350363280742979,0.8935160667629549,-0.07293994418304989,0.06390476923924415
Baseline (p=3),p90p100,Algeria,Lower middle income,growth,0.0018178883811145758,0.835155760690151,0.011027915738672473,0.4858297800538448,0.022699134946915445,0.9820457357986478,-0.9826055514582626,1.0046613829356075
Baseline (p=3),p90p100,Algeria,Lower middle income,life_exp,1.6187450415553424e-4,0.835155760690151,9.819845985110057e-4,0.0014294128130355659,0.6869846062353525,0.4975497519009312,-0.0019414928575536255,0.0039054620545756367
Baseline (p=3),p90p100,Algeria,Lower middle income,gdp_x_debt,-0.009047017820171812,0.835155760690151,-0.05488222007665435,0.88379157335551,-0.06209860076882367,0.9509103383570787,-1.862438943370443,1.7526745032171342
Baseline (p=3),p90p100,Argentina,Upper middle income,public_debt,0.0011649051025152614,0.8606456194658172,0.008359300210369182,0.06011962517981237,0.13904444988416462,0.8902353646884651,-0.11381847796354377,0.13053707838428213
Baseline (p=3),p90p100,Argentina,Upper middle income,growth,0.04737589045647322,0.8606456194658172,0.3399669983452884,0.34739405913610605,0.9786206453579339,0.3346797911313355,-0.366022670903658,1.0459566675942347
Baseline (p=3),p90p100,Argentina,Upper middle income,life_exp,-0.0020568562633111274,0.8606456194658172,-0.014759896713878992,0.005933015301915396,-2.487756387399499,0.01791921335606795,-0.026817234484894564,-0.0027025589428634218
Baseline (p=3),p90p100,Argentina,Upper middle income,gdp_x_debt,-0.15928966547158335,0.8606456194658172,-1.1430545983627012,0.7778453184392002,-1.4695140168180458,0.15088669243583647,-2.7238264758592585,0.43771727913385594
Baseline (p=3),p90p100,Australia,High income,public_debt,-0.022020499366091385,0.653516463893347,-0.06355424449175888,0.062348578219856295,-1.0193375102741093,0.31503739796034014,-0.1901285874510258,0.06302009846750802
Baseline (p=3),p90p100,Australia,High income,growth,0.03264028842109495,0.653516463893347,0.09420444269261835,0.3717742349460794,0.25339153130469455,0.8014482078270249,-0.660537379190623,0.8489462645758596
Baseline (p=3),p90p100,Australia,High income,life_exp,0.004110008639102718,0.653516463893347,0.011862060417894124,0.001439408391387011,8.240927653939732,1.0331663620323248e-9,0.008939906030549281,0.014784214805238968
Baseline (p=3),p90p100,Australia,High income,gdp_x_debt,-0.08063217898392842,0.653516463893347,-0.23271575870522346,1.3354139713033366,-0.1742648824305003,0.8626614003864723,-2.943750249344402,2.4783187319339555
Baseline (p=3),p90p100,Austria,High income,public_debt,-0.019041149577202796,0.1312779353475422,-0.021918574826138928,0.016396438142096962,-1.3367887974318142,0.19016818422749363,-0.0552401462127831,0.011402996560505241
Baseline (p=3),p90p100,Austria,High income,growth,-0.0075830368269303615,0.1312779353475422,-0.008728956170767969,0.16758796796041034,-0.052085816643054166,0.9587651370243586,-0.3493086838860256,0.33185077154448966
Baseline (p=3),p90p100,Austria,High income,life_exp,0.001500602152542229,0.1312779353475422,0.0017273673751369053,7.806253958721097e-4,2.2127993584004546,0.03372770056502394,1.4094570054184e-4,0.0033137890497319704
Baseline (p=3),p90p100,Austria,High income,gdp_x_debt,-3.8814157161998425e-4,0.1312779353475422,-4.4679603225602967e-4,0.2503778936164864,-0.0017844867444264255,0.9985866156811258,-0.5092758955888964,0.5083823035243843
Baseline (p=3),p90p100,Bahamas,High income,public_debt,-0.04270016858270929,0.5286751074516491,-0.09059603950013927,0.012409886293092219,-7.300311812733387,1.5716907867058558e-8,-0.11578944805243103,-0.0654026309478475
Baseline (p=3),p90p100,Bahamas,High income,growth,0.013065861058689654,0.5286751074516491,0.027721559512898616,0.02820167050743832,0.9829757959049599,0.3323659110087779,-0.029530875374155777,0.08497399439995301
Baseline (p=3),p90p100,Bahamas,High income,life_exp,0.0011932364443842933,0.5286751074516491,0.002531664385330306,9.387285349848328e-4,2.696907882289112,0.010690575847574385,6.25944143982768e-4,0.004437384626677844
Baseline (p=3),p90p100,Bahamas,High income,gdp_x_debt,-0.0861250598003414,0.5286751074516491,-0.18272970760080587,0.13579122964570622,-1.3456664916988168,0.18706321792868696,-0.458400559491417,0.09294114428980527
Baseline (p=3),p90p100,Bahrain,High income,public_debt,-0.004668560765972333,0.7860399640252334,-0.021819779309267453,0.06726955291275954,-0.32436337636382184,0.7480737571526574,-0.1596152119211372,0.11597565330260229
Baseline (p=3),p90p100,Bahrain,High income,growth,-0.027551205072621723,0.7860399640252334,-0.1287679960750753,0.11689372101311939,-1.101581804044233,0.28002310779991607,-0.3682139290293699,0.11067793687921929
Baseline (p=3),p90p100,Bahrain,High income,life_exp,-0.0010942322701518853,0.7860399640252334,-0.00511418997088285,0.0033365663130012113,-1.5327703666355972,0.1365547507917314,-0.011948836235507958,0.0017204562937422592
Baseline (p=3),p90p100,Bahrain,High income,gdp_x_debt,0.2367537997252626,0.7860399640252334,1.1065328094877687,0.6670505540456835,1.658844000318433,0.1083092518578159,-0.2598583093578841,2.4729239283334215
Baseline (p=3),p90p100,Bangladesh,Low income,public_debt,0.08262005238070258,0.730775762939966,0.30688192594739994,0.07252987365848756,4.231110719872158,1.9141534709527639e-4,0.1589562733554819,0.45480757853931797
Baseline (p=3),p90p100,Bangladesh,Low income,growth,-0.03168841477231959,0.730775762939966,-0.11770268204067166,0.38665545877056257,-0.3044123117126745,0.7628479989328877,-0.9062916893258061,0.6708863252444627
Baseline (p=3),p90p100,Bangladesh,Low income,life_exp,4.74727988312584e-4,0.730775762939966,0.0017633181674008237,4.6350447059166037e-4,3.804317496981118,6.273332007603702e-4,8.179945671642839e-4,0.0027086417676373637
Baseline (p=3),p90p100,Bangladesh,Low income,gdp_x_debt,0.03598964832649039,0.730775762939966,0.13367908000966905,1.261308820509597,0.10598441700872249,0.9162775804238044,-2.4387772194780477,2.7061353794973857
Baseline (p=3),p90p100,Belgium,High income,public_debt,-0.0022041723044375072,0.49217786508853784,-0.004340441569806327,0.013243631757242228,-0.3277380139652987,0.745119401977677,-0.03125473949188761,0.02257385635227496
Baseline (p=3),p90p100,Belgium,High income,growth,-0.22389544586203355,0.49217786508853784,-0.4408934358504662,0.3022324807188677,-1.4587890580184826,0.15380040871127007,-1.0551037353288584,0.17331686362792592
Baseline (p=3),p90p100,Belgium,High income,life_exp,-3.4519462548317524e-4,0.49217786508853784,-6.797549806358071e-4,6.774318261869833e-4,-1.0034293553373481,0.32274201698332716,-0.002056462089841379,6.969521285697648e-4
Baseline (p=3),p90p100,Belgium,High income,gdp_x_debt,0.2281067041808027,0.49217786508853784,0.4491862179669908,0.28245176972322583,1.5903112181139736,0.12102131687166005,-0.12482484020010748,1.023197276134089
Baseline (p=3),p90p100,Belize,Lower middle income,public_debt,9.866580261310223e-4,0.6640917355225746,0.0029372841649668024,0.01749369953210268,0.16790525980948706,0.8676525967037727,-0.03261419065680281,0.03848875898673641
Baseline (p=3),p90p100,Belize,Lower middle income,growth,0.003474067022863728,0.6640917355225746,0.010342308868965627,0.09142750561570392,0.11312032193503477,0.9106004579256024,-0.17546073741916357,0.1961453551570948
Baseline (p=3),p90p100,Belize,Lower middle income,life_exp,-0.0019692589476326024,0.6640917355225746,-0.005862490316206393,0.0013278174575379648,-4.415132729973746,9.709615620484502e-5,-0.008560940053664135,-0.0031640405787486513
Baseline (p=3),p90p100,Belize,Lower middle income,gdp_x_debt,0.004704532797680383,0.6640917355225746,0.014005409497736694,0.17673326116935495,0.07924603102477686,0.937301521605773,-0.34515979012749926,0.3731706091229727
Baseline (p=3),p90p100,Bolivia,Lower middle income,public_debt,-7.424226535296893e-4,0.9108066339697676,-0.008323742970727693,0.04008746447497967,-0.20763954716873906,0.836713893730084,-0.08970562242483787,0.0730581364833825
Baseline (p=3),p90p100,Bolivia,Lower middle income,growth,-0.030506463931909977,0.9108066339697676,-0.34202615384612456,0.4974650505592192,-0.6875380561139723,0.496274956080044,-1.3519338970138528,0.6678815893216038
Baseline (p=3),p90p100,Bolivia,Lower middle income,life_exp,-1.7106612090702047e-4,0.9108066339697676,-0.0019179242641099224,0.0025838200471614272,-0.7422824457984004,0.46286896476348305,-0.00716335782702451,0.003327509298804665
Baseline (p=3),p90p100,Bolivia,Lower middle income,gdp_x_debt,0.03857364099197008,0.9108066339697676,0.4324720851873154,0.5860309852051266,0.7379679506808646,0.4654534088690405,-0.7572340640779713,1.6221782344526021
Baseline (p=3),p90p100,Brazil,Upper middle income,public_debt,-0.0022985694569102586,0.5310297129229976,-0.004901311490834058,0.01673113676894849,-0.2929455158080148,0.7712936520706409,-0.038867324894117206,0.029064701912449087
Baseline (p=3),p90p100,Brazil,Upper middle income,growth,0.0031959719913057134,0.5310297129229976,0.006814870961709674,0.13207858727908145,0.05159709156571976,0.9591430977285345,-0.2613189162256584,0.27494865814907776
Baseline (p=3),p90p100,Brazil,Upper middle income,life_exp,-1.9966752882760586e-4,0.5310297129229976,-4.257573119868499e-4,5.403276596977556e-4,-0.7879613496466326,0.43602363968807645,-0.0015226807777922165,6.711661538185167e-4
Baseline (p=3),p90p100,Brazil,Upper middle income,gdp_x_debt,-2.6064660632067434e-4,0.5310297129229976,-5.557849047222849e-4,0.2430456673450278,-0.002286750925427081,0.9981884227677081,-0.4939647211087586,0.492853151299314
Baseline (p=3),p90p100,Burkina Faso,Low income,public_debt,-0.004416395184193754,0.6854770803379686,-0.014041568700110515,0.06450078507091253,-0.21769608981771515,0.8291398455554471,-0.14576974546024124,0.11768660806002022
Baseline (p=3),p90p100,Burkina Faso,Low income,growth,-0.06479103162560934,0.6854770803379686,-0.20599780675834414,0.24405131400030547,-0.8440757944785592,0.4053078066395508,-0.7044170832652926,0.2924214697486044
Baseline (p=3),p90p100,Burkina Faso,Low income,life_exp,-0.0027034720389155845,0.6854770803379686,-0.00859546910546482,9.892213745985787e-4,-8.68912593902737,1.084286076030215e-9,-0.010615728671991946,-0.006575209538937694
Baseline (p=3),p90p100,Burkina Faso,Low income,gdp_x_debt,0.28908114614965075,0.6854770803379686,0.9191099537683329,0.6799665295704443,1.3516988172181987,0.1865761763021323,-0.4695669607801267,2.307786868316793
Baseline (p=3),p90p100,Canada,High income,public_debt,0.01324956522343533,0.9868231416094296,1.0055177668841757,3.872560559335613,0.25965191543878274,0.7966981356532252,-6.864472166825976,8.875507700594328
Baseline (p=3),p90p100,Canada,High income,growth,0.01699730090464358,0.9868231416094296,1.2899357647196998,13.544421948268088,0.09523741726642256,0.9246853549645211,-26.23564137153052,28.81551290096992
Baseline (p=3),p90p100,Canada,High income,life_exp,-0.0012889588554568028,0.9868231416094296,-0.09781989130119274,0.41002499228613315,-0.23857055823789833,0.8128707031182256,-0.9310909305577267,0.7354511479553413
Baseline (p=3),p90p100,Canada,High income,gdp_x_debt,0.0421343171085732,0.9868231416094296,3.197599599212919,18.623501756774676,0.17169701170993407,0.86469359960427,-34.6499095902613,41.045108788687145
Baseline (p=3),p90p100,Chile,Upper middle income,public_debt,-0.0012315798310329827,0.955097161244182,-0.027427660815173026,0.16314301680062723,-0.16812034834866174,0.8674563456645511,-0.3586255926608052,0.30377027103045917
Baseline (p=3),p90p100,Chile,Upper middle income,growth,0.1155691601408596,0.955097161244182,2.57376066509571,4.822343948867369,0.5337156976744085,0.5969118318325258,-7.216118018249999,12.363639348441419
Baseline (p=3),p90p100,Chile,Upper middle income,life_exp,-7.275454777869788e-4,0.955097161244182,-0.016202661077696596,0.03489444125094305,-0.4643335871514695,0.6452842185417453,-0.08704214291310187,0.05463682075770869
Baseline (p=3),p90p100,Chile,Upper middle income,gdp_x_debt,-0.2013232676862857,0.955097161244182,-4.483530958500935,8.502090422595876,-0.5273445394776234,0.6012814418750634,-21.743692132114127,12.776630215112256
Baseline (p=3),p90p100,Colombia,Lower middle income,public_debt,0.01751328539906997,0.6092803346189939,0.0448231480286309,0.0703953759519328,0.636734265887534,0.5284407953556053,-0.09808706280355137,0.1877333588608132
Baseline (p=3),p90p100,Colombia,Lower middle income,growth,0.022953827203627757,0.6092803346189939,0.058747560559166065,0.3658160304182886,0.16059318256772884,0.8733371636747077,-0.68389846307407,0.8013935841924021
Baseline (p=3),p90p100,Colombia,Lower middle income,life_exp,-0.0034026758891906555,0.6092803346189939,-0.00870873977093672,0.002784461593964203,-3.127620718423412,0.0035393117660496693,-0.014361497328752035,-0.0030559822131214064
Baseline (p=3),p90p100,Colombia,Lower middle income,gdp_x_debt,0.04315954365537587,0.6092803346189939,0.11046166210571794,1.0428515711854887,0.105922707658337,0.9162484467774802,-2.006639580546269,2.2275629047577046
Baseline (p=3),p90p100,Costa Rica,Upper middle income,public_debt,-0.012230544208132249,0.22016685585564008,-0.015683539869995797,0.028230087549677107,-0.5555611488061143,0.5820449594708266,-0.07299366441979657,0.041626584679804984
Baseline (p=3),p90p100,Costa Rica,Upper middle income,growth,-0.26079416608508743,0.22016685585564008,-0.3344230340084265,0.15513726907094805,-2.155658894933149,0.03806757017110248,-0.6493684339164647,-0.01947763410038822
Baseline (p=3),p90p100,Costa Rica,Upper middle income,life_exp,6.701647066509447e-4,0.22016685585564008,8.59369355718082e-4,7.356185905786851e-4,1.16822680492896,0.25061151916810315,-6.340157771840492e-4,0.002352754488620213
Baseline (p=3),p90p100,Costa Rica,Upper middle income,gdp_x_debt,0.8423577566210221,0.22016685585564008,1.0801769108509292,0.4580333478586054,2.358293159004613,0.02407476342882471,0.15031977996012735,2.010034041741731
Baseline (p=3),p90p100,Cote d'Ivoire,Lower middle income,public_debt,-0.018581157877301746,0.6346884151360987,-0.05086386155594889,0.019590995040758254,-2.596287807236372,0.013819224163343602,-0.09067755365960051,-0.011050169452297268
Baseline (p=3),p90p100,Cote d'Ivoire,Lower middle income,growth,0.03995809489616627,0.6346884151360987,0.10938085883877148,0.215361058362876,0.5078952512132834,0.6148061324951781,-0.328285469540036,0.547047187217579
Baseline (p=3),p90p100,Cote d'Ivoire,Lower middle income,life_exp,-0.004190490468816101,0.6346884151360987,-0.011471003500689119,0.004219009133724245,-2.7188856760220665,0.010238181283992306,-0.02004506164746152,-0.002896945353916717
Baseline (p=3),p90p100,Cote d'Ivoire,Lower middle income,gdp_x_debt,0.018620384420667886,0.6346884151360987,0.05097123987350417,0.23659735656554848,0.21543452815113245,0.8307157052419541,-0.42985243892591823,0.5317949186729266
Baseline (p=3),p90p100,Cyprus,High income,public_debt,0.060214962587498394,0.31469326893695115,0.08786571013842641,0.03445437181698189,2.550204966880839,0.015592714074593268,0.017767763612769397,0.1579636566640834
