spec,dv,qm,qm_df,qm_p,r2
Baseline (p=3),p90p100,2.243983607757289,2,0.5233370090651818,0
Baseline (p=3),p99p100,1.4075739447522395,2,0.7037603207288237,0
Baseline (p=3),gini,0.8699603130219106,2,0.832670348655209,0
Baseline (p=2),p90p100,2.243983607757289,2,0.5233370090651818,0
Baseline (p=2),p99p100,1.4075739447522395,2,0.7037603207288237,0
Baseline (p=2),gini,0.8699603130219106,2,0.832670348655209,0
Composition,p90p100,2.284694817765548,2,0.515459313012066,0
Composition,p99p100,4.568916645641334,2,0.20622484116943615,0
Composition,gini,19.203032775315304,2,2.482026905910043e-4,43.18430444137296
