spec,dv,country,term,estimate,std_error,t_value,p_value
Baseline (p=3),p90p100,Algeria,(Intercept),0.06694069030099978,0.05214447774617339,1.2837541614061367,0.20939092987201285
Baseline (p=3),p90p100,Algeria,"L(p90p100, 1)",1.2876220662886162,0.16365089769287086,7.868102677353716,1.1199201778484635e-8
Baseline (p=3),p90p100,Algeria,"L(p90p100, 2)",-0.45246630559846523,0.14808680749364425,-3.0554126546207345,0.0047867552227775605
Baseline (p=3),p90p100,Algeria,public_debt,-7.446982703215323e-4,0.005673930218106706,-0.1312491062976142,0.8964845628003061
Baseline (p=3),p90p100,Algeria,growth,-0.0688099420826007,0.035165524049490256,-1.9567443950433079,0.060067463859555664
Baseline (p=3),p90p100,Algeria,"L(growth, 1)",-0.011788619147188482,0.03970103866246155,-0.2969347791481071,0.7686327707032465
Baseline (p=3),p90p100,Algeria,"L(growth, 2)",0.08241644961090376,0.03930064036863785,2.0970765065872206,0.04481936608083845
Baseline (p=3),p90p100,Algeria,life_exp,1.6187450415553424e-4,2.2834739755317712e-4,0.7088957697353971,0.4840494756127469
Baseline (p=3),p90p100,Algeria,gdp_x_debt,0.10665649552594134,0.07324807769474831,1.4560995848985716,0.15610706122742427
Baseline (p=3),p90p100,Algeria,"L(gdp_x_debt, 1)",0.015117965248186758,0.07665661464357446,0.19721670880562403,0.845033721228541
Baseline (p=3),p90p100,Algeria,"L(gdp_x_debt, 2)",-0.1308214785942999,0.07391848166223937,-1.7698074372262025,0.08727431299748
Baseline (p=3),p90p100,Argentina,(Intercept),0.21910571892907407,0.12475733047028423,1.7562552685532378,0.08804994560493219
Baseline (p=3),p90p100,Argentina,"L(p90p100, 1)",0.8606456194658172,0.08105292753610935,10.61831627343006,2.455004033233056e-12
Baseline (p=3),p90p100,Argentina,public_debt,0.0011649051025152614,0.008641429522897369,0.1348046754797443,0.8935611933097991
Baseline (p=3),p90p100,Argentina,growth,0.04737589045647322,0.04721980269078601,1.0033055573465508,0.32280085882526766
Baseline (p=3),p90p100,Argentina,life_exp,-0.014890065715771887,0.0076672165722034774,-1.9420431881047855,0.06045379448340453
Baseline (p=3),p90p100,Argentina,"L(life_exp, 1)",0.01283320945246076,0.007556955603076811,1.698198338923114,0.09860584422837178
Baseline (p=3),p90p100,Argentina,gdp_x_debt,-0.15928966547158335,0.06906169117078631,-2.3064837071201674,0.027306977045810338
Baseline (p=3),p90p100,Australia,(Intercept),-0.2115551614034799,0.12209664692248341,-1.7326860870945278,0.09195607398666503
Baseline (p=3),p90p100,Australia,"L(p90p100, 1)",0.653516463893347,0.15775570780988268,4.142585222215378,2.0626614771119943e-4
Baseline (p=3),p90p100,Australia,public_debt,-0.022020499366091385,0.02069291444493725,-1.0641564978527682,0.2945447386700251
Baseline (p=3),p90p100,Australia,growth,0.03264028842109495,0.13118192049382219,0.24881697339254988,0.8049566697026633
Baseline (p=3),p90p100,Australia,life_exp,0.004110008639102718,0.0021469116436481804,1.9143818290158916,0.0637749333207708
Baseline (p=3),p90p100,Australia,gdp_x_debt,-0.08063217898392842,0.4662436891177855,-0.1729399901079596,0.8636948528513636
Baseline (p=3),p90p100,Austria,(Intercept),0.169297909587637,0.05141675475606918,3.2926603476010556,0.0023214849357719156
Baseline (p=3),p90p100,Austria,"L(p90p100, 1)",0.1312779353475422,0.1724735154549478,0.7611483711064823,0.4518155831331533
Baseline (p=3),p90p100,Austria,public_debt,-0.019041149577202796,0.01539765760893135,-1.2366263792070589,0.22470018644110015
Baseline (p=3),p90p100,Austria,growth,-0.0075830368269303615,0.1455174777478142,-0.05211083193781006,0.9587453515665045
Baseline (p=3),p90p100,Austria,life_exp,0.010643368631097095,0.003775975733441408,2.818706840945923,0.007981315504053213
Baseline (p=3),p90p100,Austria,"L(life_exp, 1)",-0.009142766478554866,0.003655106640229831,-2.5013679157607216,0.01734999874385115
Baseline (p=3),p90p100,Austria,gdp_x_debt,-3.8814157161998425e-4,0.2175149473229307,-0.001784436317582051,0.9985866556211441
Baseline (p=3),p90p100,Bahamas,(Intercept),0.1843149727105896,0.06956430977186534,2.649562301632067,0.012014558162240794
Baseline (p=3),p90p100,Bahamas,"L(p90p100, 1)",0.5286751074516491,0.15154390298252454,3.4885937147376618,0.0013302006368191128
Baseline (p=3),p90p100,Bahamas,public_debt,-0.04270016858270929,0.01288697081738751,-3.313437206290315,0.0021500039983925637
Baseline (p=3),p90p100,Bahamas,growth,0.013065861058689654,0.011861744577108615,1.1015125957023895,0.2781912496055884
Baseline (p=3),p90p100,Bahamas,life_exp,0.0011932364443842933,5.513261521040824e-4,2.1643022734010042,0.03734759919197127
Baseline (p=3),p90p100,Bahamas,gdp_x_debt,-0.0861250598003414,0.050770744690571266,-1.6963521083892206,0.09869756162342078
Baseline (p=3),p90p100,Bahrain,(Intercept),0.20029412299348198,0.09299798057958263,2.1537470141309267,0.04001608732984285
Baseline (p=3),p90p100,Bahrain,"L(p90p100, 1)",1.463479467184694,0.12174773848492229,12.020588516853124,1.4306682773326007e-12
Baseline (p=3),p90p100,Bahrain,"L(p90p100, 2)",-0.6774395031594607,0.11796837409830202,-5.742551835078749,3.6668078010267095e-6
Baseline (p=3),p90p100,Bahrain,public_debt,0.035360675432102265,0.031313138916217474,1.129260005734798,0.26837035722134217
