spec,dv,country,income_group,n_obs,status,aic,bic,best_order
Baseline (p=3),p90p100,Paraguay,Lower middle income,42,ok,-329.4519127178479,-314.0297641175091,"(1,0,1,0,1)"
Baseline (p=3),p90p100,Portugal,High income,42,ok,-264.5144099487635,-247.62561540762414,"(2,1,0,1,0)"
Baseline (p=3),p90p100,Singapore,High income,42,ok,-222.5553357776815,-207.13318717734273,"(1,1,0,0,1)"
Baseline (p=3),p90p100,South Africa,Upper middle income,42,ok,-253.38376741347895,-237.96161881314018,"(1,0,1,0,1)"
Baseline (p=3),p90p100,South Korea,High income,42,ok,-280.67772183551045,-268.6827173685803,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Spain,High income,42,ok,-305.7767706730546,-292.06819413942014,"(1,1,0,0,0)"
Baseline (p=3),p90p100,Sweden,High income,42,ok,-284.30579056056456,-270.5972140269301,"(1,0,0,0,1)"
Baseline (p=3),p90p100,Switzerland,High income,42,ok,-272.08725550740496,-256.66510690706616,"(1,1,0,0,1)"
Baseline (p=3),p90p100,Thailand,Lower middle income,42,ok,-245.4263138100295,-231.71773727639504,"(1,0,1,0,0)"
Baseline (p=3),p90p100,Togo,Low income,42,ok,-328.85871386964044,-315.15013733600597,"(1,1,0,0,0)"
Baseline (p=3),p90p100,Trinidad and Tobago,Upper middle income,42,ok,-333.31720120419,-319.6086246705555,"(1,0,0,0,1)"
Baseline (p=3),p90p100,Turkey,Upper middle income,42,ok,-280.6835285095524,-263.5478078425093,"(1,1,1,0,1)"
Baseline (p=3),p90p100,United Arab Emirates,High income,42,ok,-356.74079514673707,-341.3186465463983,"(1,1,0,0,1)"
Baseline (p=3),p90p100,United Kingdom,High income,42,ok,-279.65358556299543,-264.23143696265663,"(1,1,0,0,1)"
Baseline (p=3),p90p100,United States,High income,42,ok,-320.1590517369465,-308.16404727001634,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Uruguay,Upper middle income,42,ok,-276.76900293523016,-263.0604264015957,"(1,0,0,0,1)"
Baseline (p=3),p90p100,Venezuela,Upper middle income,42,ok,-327.5561498402454,-315.56114537331524,"(1,0,0,0,0)"
Baseline (p=3),p90p100,Zambia,Low income,42,ok,-308.46594869602797,-273.5311541273054,"(3,3,3,3,3)"
Baseline (p=3),p99p100,Algeria,Lower middle income,42,ok,-283.11788178814106,-266.2290872470017,"(2,0,1,0,1)"
Baseline (p=3),p99p100,Argentina,Upper middle income,42,ok,-232.63064307723104,-218.92206654359657,"(1,0,0,0,1)"
Baseline (p=3),p99p100,Australia,High income,42,ok,-315.9845267769841,-303.989522310054,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Austria,High income,42,ok,-351.15687283350576,-339.1618683665756,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Bahamas,High income,42,ok,-301.1495591507589,-284.0138384837158,"(1,1,0,1,1)"
Baseline (p=3),p99p100,Bahrain,High income,42,ok,-287.3697904425781,-273.8587548096666,"(2,0,0,0,0)"
Baseline (p=3),p99p100,Bangladesh,Low income,42,ok,-341.04739279568844,-324.1585982545491,"(2,0,0,0,2)"
Baseline (p=3),p99p100,Belgium,High income,42,ok,-337.98688153819677,-321.0980869970574,"(2,0,0,0,2)"
Baseline (p=3),p99p100,Belize,Lower middle income,42,ok,-299.6465205449505,-285.937944011316,"(1,0,0,1,0)"
Baseline (p=3),p99p100,Bolivia,Lower middle income,42,ok,-297.6458032989159,-285.65079883198575,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Brazil,Upper middle income,42,ok,-259.31729400664955,-247.3222895397194,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Burkina Faso,Low income,42,ok,-307.8360971470711,-272.9013025783485,"(3,3,3,3,3)"
Baseline (p=3),p99p100,Canada,High income,42,ok,-314.8860238733014,-299.4638752729626,"(1,1,0,1,0)"
Baseline (p=3),p99p100,Chile,Upper middle income,42,ok,-262.1997058182126,-248.68867018530108,"(2,0,0,0,0)"
Baseline (p=3),p99p100,Colombia,Lower middle income,42,ok,-246.27463240291308,-234.27962793598294,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Costa Rica,Upper middle income,42,ok,-296.1185756469864,-278.98285497994334,"(1,0,1,1,1)"
