year,ifs,iso,country,region,income_group,lending_category,gg,cg,debt_raw,debt_imp,debt_is_imputed,debt_source,rgdpo,pop,emp,hc,ctfp,labsh,csh_g,csh_i,csh_x,csh_m,pl_c,pl_i,pl_g,pl_x,pl_m,growth,log_growth,gini_mean,gini_sd,log_gini,military_exp,inflation,life_exp,capital_formation,industry_va,domestic_credit,broad_money,nonmil_g,trade_openness,gdp_pc
1988,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.5664350218930714,0.5664350218930714,0.5664350218930714,FALSE,cg,188858359375,31668948.999999996,11396119.117736816,2.485077142715454,0.6193116307258606,0.4410236179828644,0.08649934828281403,0.12660162150859833,0.11074785888195038,-0.05942580103874206,0.7102415561676025,1.0122443437576294,0.9125961065292358,0.450347900390625,0.4889302849769592,NA,NA,42.20676792144776,1.1509035200474396,3.742580585468396,0.0212493922313663,3.8124634440952003,71.052,0.186400388971926,0.384866110820983,0.42674467324557497,0.251476054816229,0.06524995605144773,0.05132205784320832,0.005963518378049111
1989,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,1.090433514438956,1.090433514438956,1.090433514438956,FALSE,cg,181887000000,32148134,11496272.087097168,2.5069570541381836,0.5579028725624084,0.4410236179828644,0.1171676740050316,0.1096491813659668,0.11692425608634947,-0.04895852133631706,0.451842725276947,0.6086860299110413,0.4608103334903717,0.4628005623817444,0.4853640794754028,-0.01664782689693089,-0.01678795941204733,42.52485801696778,1.331802311282756,3.7500887994631307,0.0188036559239223,30.4609115201119,71.425,0.155146982752804,0.42347813069586104,0.8005567633986119,0.201046563194961,0.0983640180811093,0.06796573475003241,0.0056577778355658215
1990,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.4474283017660065,0.4474283017660065,0.4474283017660065,FALSE,cg,204212687500,32618651,11811478.614807129,2.529029607772827,0.5761784315109253,0.4410236179828644,0.06441214680671692,0.08779864013195038,0.13142497837543488,-0.04029923677444458,0.7140446305274963,1.1186950206756592,1.3373562097549438,0.4701356887817383,0.5060438513755798,0.07730334202021737,0.07446101313190895,42.654724044799806,1.3793701951932762,3.753138030870731,0.0145090921225786,20.7831681806978,71.784,0.139969815756662,0.360218813478135,0.324207077674654,0.11481094677285901,0.04990305468413832,0.0911257416009903,0.006260611068802324
1991,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.3293441363048355,0.3293441363048355,0.3293441363048355,FALSE,cg,240402000000,33079000,12190682.411193848,2.552567958831787,0.609840452671051,0.4410236179828644,0.05758362635970116,0.1107945591211319,0.0958886593580246,-0.06463329493999481,0.8110222220420837,1.064756989479065,1.6891374588012695,0.5346489548683167,0.5481356382369995,0.2010732171797354,0.18321550475316523,42.77829807281494,1.3340126153219682,3.756030919618728,0.0150692655529635,1.4050237866101198,72.319,0.14636977395079598,0.327225282556322,0.227990352906324,0.105567775609245,0.04251436080673766,0.031255364418029785,0.007267511109767527
1992,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.2776823067533283,0.2776823067533283,0.2776823067533283,FALSE,cg,283126843750,33529325.999999996,12385934.829711914,2.5709738731384277,0.6264113783836365,0.4410236179828644,0.07324601709842682,0.14179657399654388,0.094606451690197,-0.10798467695713045,0.842535674571991,0.967523992061615,1.3211853504180908,0.4678906202316284,0.4979974925518036,0.20276676127584373,0.18462453729399966,42.93200885772705,1.225656118896048,3.7596176749391823,0.0142122223348777,0.16071993535694498,72.43,0.167024057741857,0.306839549022114,0.22478577756554402,0.136914371927742,0.05903379476354912,-0.013378225266933441,0.008444155535664511
1993,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.26892713909431093,0.26892713909431093,0.26892713909431093,FALSE,cg,325027750000,33970110.99999999,12345012.664794922,2.58705997467041,0.6371707916259766,0.4410236179828644,0.10039058327674866,0.16659565269947052,0.08515497297048569,-0.10782704502344131,0.7575659155845642,0.8504251837730408,1.0910996198654177,0.4874708950519562,0.4922437071800232,0.14984512014364035,0.1396272551692793,43.2044900894165,1.2337816496035834,3.765944427103974,0.014228029005729299,-0.0356109557576575,72.565,0.19688110423342198,0.27338739645861,0.259935337266753,0.192186233404674,0.08616255427101936,-0.022672072052955627,0.009568050866834085
1994,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.28425983266469274,0.28425983266469274,0.28425983266469274,FALSE,cg,378639937500,34402671.99999999,12416181.564331057,2.6032464504241943,0.657434344291687,0.4318451583385467,0.11402548849582672,0.18608927726745603,0.08589226007461548,-0.1136784553527832,0.7368320822715759,0.744512677192688,0.8762941360473633,0.5010519027709961,0.5158376693725586,0.1676088568169351,0.15495794545803476,43.723019981384276,1.2131283609544379,3.7778747364347263,0.0145703853325047,0.0284933971509302,73.172,0.19965623252019898,0.267545586932878,0.265787635954009,0.207702889993785,0.09945510316332203,-0.027786195278167725,0.0110061200333509
1995,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.3074937986763288,0.3074937986763288,0.3074937986763288,FALSE,cg,424478750000,34828170,11835313.79699707,2.619534492492676,0.6924816966056824,0.39392945170402527,0.14713026583194733,0.17076148092746735,0.09481997042894363,-0.08902441710233688,0.7007973194122314,0.6518973708152771,0.6140251159667969,0.5356731414794922,0.54765784740448,0.11019529059009157,0.1045359373176124,44.41799701690674,1.1246811745097314,3.7936447255294556,0.014730731072115099,0.0316512339016516,73.133,0.185004105114971,0.263012103355498,0.278679507463713,0.201412713745498,0.13239953475983224,0.0057955533266067505,0.012187799416391962
1996,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.32550752715205566,0.32550752715205566,0.32550752715205566,FALSE,cg,548784875000,35246373.99999999,12137214.660644531,2.627023935317993,0.8278177976608276,0.3669727146625519,0.20686277747154236,0.1816350370645523,0.08373155444860458,-0.08287017792463303,0.6465851068496704,0.5064579844474792,0.33527567982673645,0.5354721546173096,0.5399456024169922,0.2949082782420444,0.2584398650307864,44.97095611572266,1.2926199511585237,3.806016861746786,0.0124122726437626,-5.23754965904146e-4,73.307,0.19623872445225501,0.265925606398683,0.28220310325473397,0.226904801492561,0.19445050482777976,8.613765239715576e-4,0.015569966856732557
1997,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.3167579872836257,0.3167579872836257,0.3167579872836257,FALSE,cg,566384250000,35657429,12762511.253356934,2.6345345973968506,0.8089302778244019,0.35687369108200073,0.17725063860416412,0.20093896985054016,0.09256602823734283,-0.10633541643619536,0.6505107879638672,0.510369598865509,0.39289137721061707,0.5199188590049744,0.5196952223777771,0.035856953230660474,0.03522905827173745,45.460314903259274,1.2310050748833496,3.8168397454408645,0.011401391113129499,-0.0046391313116429,73.09,0.208260515469902,0.271791508883114,0.303761991265421,0.264701846280975,0.16584924749103463,-0.013769388198852525,0.015884046210959294
1998,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.34146879991670764,0.34146879991670764,0.34146879991670764,FALSE,cg,565211812500,36063459,13351142.88330078,2.6420669555664063,0.7657354474067688,0.36957648396492,0.15969575941562653,0.20795699954032895,0.09831378608942032,-0.1154915988445282,0.6437435150146484,0.5183998942375183,0.4614046812057495,0.48987877368927,0.49500542879104614,0.004154852233785846,0.004146244669112871,46.045023117065426,1.2486215232879656,3.829619681226965,0.0113631802186333,-0.0170527962400085,73.474,0.209707691548621,0.267121357626278,0.32502843552354,0.28650684859336,0.14833257919699322,-0.01717781275510788,0.015672701071186766
1999,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.38916986260079234,0.38916986260079234,0.38916986260079234,FALSE,cg,532079687500,36467217.99999999,13461274.147033691,2.649620771408081,0.7154215574264526,0.39151379466056824,0.15453621745109558,0.1886510998010635,0.09481301158666612,-0.09930237382650375,0.6318519711494446,0.5188069939613342,0.5261430144309998,0.4749861657619476,0.49579307436943054,-0.062483608750150355,-0.06452103729057489,46.424964904785156,1.206469225670955,3.8378373512833983,0.0122035954754993,-0.0183655839220664,73.722,0.17862927875339898,0.26193630499112897,0.355044239797124,0.3144367758524,0.1423326219755963,-0.004489362239837633,0.014590630069450324
2000,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.4083283885473563,0.4083283885473563,0.4083283885473563,FALSE,cg,528448750000,36870787,13598359.107971191,2.657196044921875,0.7087386846542358,0.3911061882972718,0.14153143763542175,0.17627689242362976,0.11222653836011888,-0.10349082946777344,0.6319764256477356,0.5037505626678467,0.5824320912361145,0.4561617970466614,0.474749892950058,-0.011505643742315646,-0.011572345788184639,46.74536304473877,1.2255730014207753,3.844715064606622,0.011488226766688701,0.0103728710073175,73.926,0.175334874363903,0.259908360111364,0.344516920194227,0.318486210586349,0.13004321086873305,0.008735708892345442,0.014332451054001098
2001,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.4800661871008884,0.4800661871008884,0.4800661871008884,FALSE,cg,496567281250,37275652,13505481.719970703,2.6830029487609863,0.6842665076255798,0.39978456497192383,0.13492852449417114,0.15638114511966705,0.12329095602035522,-0.09133695065975188,0.628882110118866,0.4995883703231811,0.6304005980491638,0.4457775056362152,0.45952048897743225,-0.06717576634766864,-0.0695384842504588,47.118007011413575,1.2123960263228006,3.8526552424261973,0.0118423354187058,-0.0109576771833679,74.186,0.156259653308051,0.252434339827333,0.372433637548649,0.271392515912455,0.12308618907546534,0.031954005360603346,0.013321491499330448
2002,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,1.4720254831745525,1.4720254831745525,1.4720254831745525,FALSE,cg,425342156250,37681749,13412664.413452148,2.709059953689575,0.6125455498695374,0.31755295395851135,0.13686375319957733,0.11521964520215988,0.13938617706298828,-0.04859406128525734,0.2500130832195282,0.2526557445526123,0.23727357387542725,0.4433337152004242,0.4446451663970947,-0.07294365203925621,-0.07574092997696184,47.008419075012206,1.0399938873695462,3.850326714923908,0.0109188047859748,0.30555204053903,74.408,0.108539052402585,0.305577370913046,0.624210861219528,0.279270695501951,0.12594494841360254,0.09079211577773094,0.011287749840114906
2003,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,1.251616341711117,1.251616341711117,1.251616341711117,FALSE,cg,461437062500,38087868,14069103.240966797,2.735370397567749,0.649009644985199,0.31013572216033936,0.12255017459392548,0.14310875535011292,0.13832345604896543,-0.06603652238845825,0.2995276153087616,0.3033134341239929,0.29185402393341064,0.4825984835624695,0.4676683247089386,0.0536114542315931,0.05222374290605637,46.550477180480954,1.0998884232825419,3.8405372545938645,0.0106089505704838,0.104957030215496,74.08,0.14146962101250402,0.32645099099650304,0.506278207919725,0.301040572265399,0.11194122402344167,0.07228693366050717,0.012115066732010309
2004,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,1.178778483555036,1.178778483555036,1.178778483555036,FALSE,cg,504759000000,38491972,14996856.689453123,2.7619361877441406,0.6730808615684509,0.32479485869407654,0.10926710069179536,0.17105884850025177,0.1357010006904602,-0.0923321172595024,0.3208580017089844,0.34766682982444763,0.3446720540523529,0.5202558040618896,0.49636417627334595,0.07645124844305858,0.07366974970255667,45.56570701599121,1.0825205051284985,3.8191553944740644,0.008832953588335291,0.183633542492033,74.855,0.175512703642799,0.28816922006834,0.418949109861802,0.283256464652642,0.10043414710346008,0.04336888343095781,0.013113357767172854
2005,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.8028179898101956,0.8028179898101956,0.8028179898101956,FALSE,cg,548929187500,38892931,15749588.966369629,2.788760185241699,0.701165497303009,0.3389502763748169,0.10612010955810548,0.1758926808834076,0.13991312682628632,-0.10385221242904664,0.34701353311538696,0.4017257392406464,0.427996039390564,0.5344760417938232,0.5150712728500366,0.06852098680827129,0.06627543695831847,44.61037624359131,1.1504215397563164,3.797966483168523,0.00847154783885961,0.103175111982406,75.139,0.188882641376513,0.286263140439084,0.34940798126021,0.286633102803828,0.09764856171924588,0.03606091439723967,0.014113854970200112
2006,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.7079268956379678,0.7079268956379678,0.7079268956379678,FALSE,cg,599530125000,39289878,16298122.40600586,2.7969753742218018,0.7405960559844971,0.3555392324924469,0.11258554458618164,0.17090700566768646,0.1427130103111267,-0.10979057103395462,0.3726311624050141,0.437906950712204,0.44230470061302185,0.5574847459793091,0.5317198038101196,0.0959466108284837,0.09161847459158548,43.750296134948734,1.0853543079366659,3.7784983815795434,0.00788233877461469,0.137410524859152,75.433,0.186804872364334,0.292032796652469,0.28168600324333,0.280496119297007,0.10470320581156695,0.03292243927717209,0.015259149570278635
2007,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.6213271076896681,0.6213271076896681,0.6213271076896681,FALSE,cg,665477250000,39684295,16961412.42980957,2.8052146434783936,0.7770870923995972,0.364846795797348,0.1245415061712265,0.1834146678447723,0.14015933871269226,-0.11913636326789856,0.42042794823646545,0.4902757704257965,0.4666271507740021,0.6144967675209045,0.579426109790802,0.10530386021594353,0.10012028378858855,42.732941131591794,1.018682539278647,3.7549700778884754,0.00792548175031362,0.149399250245835,75.006,0.20099113202908,0.274152361334783,0.258325151090984,0.278643164271472,0.11661602442091289,0.0210229754447937,0.016769284927450518
2008,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.538138516191134,0.538138516191134,0.538138516191134,FALSE,cg,718254625000,40080160,17370250.701904297,2.8134782314300537,0.7924759387969971,0.40367910265922546,0.13885340094566345,0.1829331666231155,0.14784376323223114,-0.1294955313205719,0.5010309815406799,0.5584011077880859,0.5124335885047913,0.6759886145591736,0.6333614587783813,0.07382170813607684,0.07122397498384365,41.83470691680908,1.1238133577695497,3.733726304029442,0.00762756475390461,0.231711649813124,75.641,0.19572775877710602,0.262724599395946,0.21961534168157001,0.23493673158061898,0.13122583619175884,0.01834823191165924,0.017920453037113624
2009,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.5539708035514435,0.5539708035514435,0.5539708035514435,FALSE,cg,684293312500,40482788,17562055.587768555,2.8217661380767822,0.7334376573562622,0.4438545107841492,0.1791757345199585,0.14654995501041412,0.13138480484485626,-0.09849737584590912,0.49398642778396606,0.5507017374038696,0.4462387561798096,0.6333327889442444,0.5885609984397888,-0.039766643025621384,-0.04057894387781126,41.22993309020996,1.0155769180703418,3.719164523875143,0.00886508576686385,0.153776493708921,75.936,0.16053112359211202,0.252842047993735,0.256637910223591,0.253227384656624,0.17031064875309465,0.032887428998947144,0.016903314872977623
