dv,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
d_p90p100,d_public_debt,-6.298045697327498e-4,0.001595907847591743,-0.3946371782575902,0.6938889221766128,-0.0037931707870318115,0.0025335616475663124,108,4007
d_p90p100,d_growth,0.0013434078570631885,0.0013674054670888703,0.9824502602898236,0.32807384718246824,-0.0013670270007303867,0.004053842714856763,108,4007
d_p90p100,d_life_exp,1.3321158889065713e-4,1.5948066122118649e-4,0.8352836505104758,0.4054020500930565,-1.8290674888236157e-4,4.4932992666367585e-4,108,4007
d_p90p100,d_military_exp,-0.020067398469708182,0.03935249150190285,-0.5099397192865881,0.611134235790711,-0.09807086362687267,0.0579360666874563,108,4007
d_p90p100,d_nonmil_g,-0.007420726327276149,0.0055567540347672105,-1.335442648864163,0.1845392728986996,-0.018435176828254934,0.0035937241737026377,108,4007
d_p90p100,d_inflation,-3.12375012791429e-6,7.896707263148489e-6,-0.3955762856364036,0.693197947518912,-1.8776393870370754e-5,1.2528893614542175e-5,108,4007
d_p99p100,d_public_debt,4.590335714045796e-4,0.001484743552161105,0.30916690679440056,0.7577902175778808,-0.002483985727201285,0.0034020528700104444,108,4007
d_p99p100,d_growth,-5.003751322967764e-4,9.000197323434599e-4,-0.5559601798883964,0.5793880577790769,-0.0022843703802017,0.0012836201156081475,108,4007
d_p99p100,d_life_exp,1.6463958609833333e-5,1.614690888804767e-4,0.10196353199230813,0.9189746916678678,-3.035957877429061e-4,3.365237049625727e-4,108,4007
d_p99p100,d_military_exp,0.015403750244888211,0.03231914709152729,0.47661376091593766,0.6346000856778861,-0.04865840612305922,0.07946590661283565,108,4007
d_p99p100,d_nonmil_g,-0.0035009834388436715,0.005035597539298199,-0.6952468721977325,0.48839380816712097,-0.013482411353850199,0.006480444476162857,108,4007
d_p99p100,d_inflation,9.63688293632071e-6,9.128971986309605e-6,1.0556372558457623,0.2934897166302686,-8.458323264801256e-6,2.7732089137442675e-5,108,4007
d_gini,d_public_debt,-0.04139986076069807,0.10827920274084825,-0.3823436053531266,0.7030179009032007,-0.25622271504697824,0.17342299352558213,100,3169
d_gini,d_growth,-0.01637969923997891,0.020896948372943466,-0.7838321149889373,0.4349912852649048,-0.05783864963595582,0.025079251155998003,100,3169
d_gini,d_life_exp,0.007648142563677628,0.004837053493882795,1.5811573250843498,0.11699995954242115,-0.001948433801760672,0.01724471892911593,100,3169
d_gini,d_military_exp,0.6451639953840081,1.0972039624031225,0.5880073509495486,0.5578529557792468,-1.5316574160349723,2.821985406802989,100,3169
d_gini,d_nonmil_g,-0.06501436307423421,0.2702222402373398,-0.24059589994195602,0.8103608937709947,-0.6011275913767453,0.4710988652282769,100,3169
d_gini,d_inflation,0.012337726614822419,0.005247650480015568,2.3510953448229306,0.020679911085773457,0.0019265375233050892,0.02274891570633975,100,3169
