dv,model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
p90p100,(1) Baseline,public_debt,0.006020660843448931,0.005181210821490768,1.1620181171698842,0.24778962876338992,-0.0042493978583371134,0.016290719545234977,108,4578
p90p100,(1) Baseline,growth,0.010983831557228804,0.006799645530564383,1.61535355157214,0.10915186000779457,-0.0024942455093478148,0.02446190862380542,108,4578
p90p100,(1) Baseline,life_exp,-3.8854961351518106e-4,0.0011138515971754524,-0.348834274243068,0.727892877282457,-0.0025963967137763227,0.0018192974867459605,108,4578
p90p100,(1) Baseline,public_debt:growth,-0.012108197840021822,0.009143744759203548,-1.3242055808518094,0.18823043059783337,-0.030232686239849087,0.006016290559805444,108,4578
p90p100,(2) Fiscal size,public_debt,0.008230193014137055,0.005548135070990835,1.4834161225038875,0.14087635955728584,-0.0027671732053906103,0.019227559233664718,108,4464
p90p100,(2) Fiscal size,growth,0.013388857267935844,0.008124318851278893,1.6479975137642748,0.10225951693413601,-0.002714952129006267,0.029492666664877955,108,4464
p90p100,(2) Fiscal size,life_exp,-1.2048802345923828e-4,0.0011409163389684575,-0.10560636160945484,0.9160905746107776,-0.002381982137235045,0.0021410060903165684,108,4464
p90p100,(2) Fiscal size,csh_g,0.029756245912665014,0.029178461605935062,1.0198017398769381,0.31010151882628706,-0.02808052696633205,0.08759301879166208,108,4464
p90p100,(2) Fiscal size,inflation,-4.073739238818348e-5,4.5241212431635416e-5,-0.9004487324415164,0.3698849961364462,-1.3041332402286308e-4,4.8938539246496114e-5,108,4464
p90p100,(2) Fiscal size,public_debt:growth,-0.017371476042032572,0.013664623356618751,-1.271273681584376,0.20636244162457754,-0.044457130118909685,0.009714178034844537,108,4464
p90p100,(3) Mil vs civ,public_debt,0.007666985702213012,0.006254167664232082,1.225900249854335,0.22290260903750808,-0.004729859601988444,0.020063831006414467,108,4259
p90p100,(3) Mil vs civ,growth,0.01278255186955997,0.00894457410229874,1.4290844620846597,0.15586601281463175,-0.0049471457354976055,0.030512249474617545,108,4259
p90p100,(3) Mil vs civ,life_exp,-4.822840594192597e-4,0.001203031074879579,-0.4008907745525488,0.6892925513217092,-0.0028669003556407533,0.0019023322368022337,108,4259
p90p100,(3) Mil vs civ,military_exp,0.17085242114498042,0.16417622306807272,1.0406648292435108,0.30035522119237645,-0.15457333481016763,0.49627817710012845,108,4259
p90p100,(3) Mil vs civ,nonmil_g,0.018582009599195228,0.03533548760072565,0.5258738696112865,0.6000539989423167,-0.05145905694271212,0.08862307614110258,108,4259
p90p100,(3) Mil vs civ,composite_inflation,-3.0126049652429957e-5,3.196404892286085e-5,-0.9424979208714593,0.348041306584154,-9.348433984647563e-5,3.3232240541615716e-5,108,4259
p90p100,(3) Mil vs civ,public_debt:growth,-0.00818884221325243,0.013370714985872938,-0.6124460974528657,0.541530028712573,-0.03469191891111501,0.018314234484610156,108,4259
p90p100,(4) Debt x civ,public_debt,0.019959113730852362,0.009654401088899903,2.067359077695689,0.04109060929442393,8.224158952177332e-4,0.03909581156648699,108,4259
p90p100,(4) Debt x civ,growth,0.015862847301237437,0.009266417538755255,1.71186407636972,0.0897918934736236,-0.0025047998293408792,0.03423049443181575,108,4259
p90p100,(4) Debt x civ,life_exp,-5.313296536691913e-4,0.0012081030058909814,-0.43980492646596253,0.6609572482782455,-0.002925999397050653,0.0018633400897122704,108,4259
p90p100,(4) Debt x civ,military_exp,0.18648366285080165,0.16323809403944128,1.1424028438223728,0.2558129414077613,-0.13708255861987195,0.5100498843214752,108,4259
p90p100,(4) Debt x civ,nonmil_g,0.059534597968988884,0.04839964755355447,1.2300626343014902,0.2213463337345312,-0.036401900013106475,0.15547109595108424,108,4259
p90p100,(4) Debt x civ,composite_inflation,-4.2402941303107636e-5,3.53364738060891e-5,-1.1999765889430898,0.23277413047481946,-1.124459626751355e-4,2.764008006892023e-5,108,4259
