year,ifs,iso,country,region,income_group,lending_category,gg,cg,debt_raw,debt_imp,debt_is_imputed,debt_source,rgdpo,pop,emp,hc,ctfp,labsh,csh_g,csh_i,csh_x,csh_m,pl_c,pl_i,pl_g,pl_x,pl_m,growth,log_growth,gini_mean,gini_sd,log_gini,military_exp,inflation,life_exp,capital_formation,industry_va,domestic_credit,broad_money,nonmil_g,trade_openness,gdp_pc
1984,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.5037002250766199,0.5037002250766199,0.5037002250766199,FALSE,cg,153307531250,29737092.999999996,10556924.819946287,2.3854668140411377,0.67042076587677,0.4410236179828644,0.0827927216887474,0.1140243485569954,0.12430916726589204,-0.06214946135878563,0.6085526943206787,1.064885139465332,0.8809993267059326,0.341896116733551,0.38671064376831055,NA,NA,40.35358001708985,1.6536596272639443,3.6976801148716545,0.0216203914428767,6.1119630389191295,69.195,0.199640924492995,0.3970818793304,0.41748912658675996,0.21974776209983302,0.06117233024587071,0.06215970590710641,0.0051554310049741585
1985,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.6264001124312,0.6264001124312,0.6264001124312,FALSE,cg,149748687500,30216279,10633323.669433594,2.420576333999634,0.6228618621826172,0.4410236179828644,0.09807075560092926,0.1065649688243866,0.16696697473526,-0.06750684976577759,0.6301026344299316,0.9822180867195128,0.7679206132888794,0.3420814275741577,0.3843594491481781,-0.04061597195751959,-0.041463837913413105,40.833095970153806,1.5197140727191918,3.7094929283239515,0.0229971724787936,6.0744749783008505,69.651,0.175890669180019,0.39276154571159305,0.325730009425071,0.17303362865221503,0.07507358312213566,0.09946012496948242,0.004955894387260589
1986,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.5156957246483088,0.5156957246483088,0.5156957246483088,FALSE,cg,166668468750,30698964,10947461.128234863,2.4418883323669434,0.6369045972824097,0.4410236179828644,0.08750900626182556,0.11386943608522417,0.10982807725667952,-0.06962329149246216,0.6617123484611511,0.994597554206848,0.9124590158462524,0.38515591621398926,0.4188169538974762,0.1384568009436113,0.1296736619665599,41.17788497924805,1.3663081311862382,3.7179013398932823,0.0231367874921125,0.7729223668641331,70.119,0.17461764205086103,0.373804348914774,0.328696858004227,0.195847407377731,0.06437221876971307,0.04020478576421736,0.005429123560977497
1987,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.6835967022130961,0.6835967022130961,0.6835967022130961,FALSE,cg,177435281250,31184414.999999996,11175552.368164064,2.463388204574585,0.6309917569160461,0.4410236179828644,0.08981645852327347,0.1300288736820221,0.08684319257736206,-0.07298966497182846,0.6314060688018799,0.945572793483734,0.8509100079536438,0.4264569580554962,0.4641321897506714,0.07475114506972243,0.07208914182259765,41.84652015686035,1.3159232984347615,3.734008643104593,0.022843868799904,1.27539918059086,70.564,0.195548660012086,0.378286752699048,0.47585677365711904,0.220526189016942,0.06697258972336947,0.0138535276055336,0.005689870444900122
1988,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.5664350218930714,0.5664350218930714,0.5664350218930714,FALSE,cg,188858359375,31668948.999999996,11396119.117736816,2.485077142715454,0.6193116307258606,0.4410236179828644,0.08649934828281403,0.12660162150859833,0.11074785888195038,-0.05942580103874206,0.7102415561676025,1.0122443437576294,0.9125961065292358,0.450347900390625,0.4889302849769592,0.048374580332473625,0.04724094601948353,42.20676792144776,1.1509035200474396,3.742580585468396,0.0212493922313663,3.8124634440952003,71.052,0.186400388971926,0.384866110820983,0.42674467324557497,0.251476054816229,0.06524995605144773,0.05132205784320832,0.005963518378049111
1989,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,1.090433514438956,1.090433514438956,1.090433514438956,FALSE,cg,181887000000,32148134,11496272.087097168,2.5069570541381836,0.5579028725624084,0.4410236179828644,0.1171676740050316,0.1096491813659668,0.11692425608634947,-0.04895852133631706,0.451842725276947,0.6086860299110413,0.4608103334903717,0.4628005623817444,0.4853640794754028,-0.01664782689693089,-0.01678795941204733,42.52485801696778,1.331802311282756,3.7500887994631307,0.0188036559239223,30.4609115201119,71.425,0.155146982752804,0.42347813069586104,0.8005567633986119,0.201046563194961,0.0983640180811093,0.06796573475003241,0.0056577778355658215
1990,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.4474283017660065,0.4474283017660065,0.4474283017660065,FALSE,cg,204212687500,32618651,11811478.614807129,2.529029607772827,0.5761784315109253,0.4410236179828644,0.06441214680671692,0.08779864013195038,0.13142497837543488,-0.04029923677444458,0.7140446305274963,1.1186950206756592,1.3373562097549438,0.4701356887817383,0.5060438513755798,0.07730334202021737,0.07446101313190895,42.654724044799806,1.3793701951932762,3.753138030870731,0.0145090921225786,20.7831681806978,71.784,0.139969815756662,0.360218813478135,0.324207077674654,0.11481094677285901,0.04990305468413832,0.0911257416009903,0.006260611068802324
1991,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.3293441363048355,0.3293441363048355,0.3293441363048355,FALSE,cg,240402000000,33079000,12190682.411193848,2.552567958831787,0.609840452671051,0.4410236179828644,0.05758362635970116,0.1107945591211319,0.0958886593580246,-0.06463329493999481,0.8110222220420837,1.064756989479065,1.6891374588012695,0.5346489548683167,0.5481356382369995,0.2010732171797354,0.18321550475316523,42.77829807281494,1.3340126153219682,3.756030919618728,0.0150692655529635,1.4050237866101198,72.319,0.14636977395079598,0.327225282556322,0.227990352906324,0.105567775609245,0.04251436080673766,0.031255364418029785,0.007267511109767527
1992,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.2776823067533283,0.2776823067533283,0.2776823067533283,FALSE,cg,283126843750,33529325.999999996,12385934.829711914,2.5709738731384277,0.6264113783836365,0.4410236179828644,0.07324601709842682,0.14179657399654388,0.094606451690197,-0.10798467695713045,0.842535674571991,0.967523992061615,1.3211853504180908,0.4678906202316284,0.4979974925518036,0.20276676127584373,0.18462453729399966,42.93200885772705,1.225656118896048,3.7596176749391823,0.0142122223348777,0.16071993535694498,72.43,0.167024057741857,0.306839549022114,0.22478577756554402,0.136914371927742,0.05903379476354912,-0.013378225266933441,0.008444155535664511
1993,213,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,NA,0.26892713909431093,0.26892713909431093,0.26892713909431093,FALSE,cg,325027750000,33970110.99999999,12345012.664794922,2.58705997467041,0.6371707916259766,0.4410236179828644,0.10039058327674866,0.16659565269947052,0.08515497297048569,-0.10782704502344131,0.7575659155845642,0.8504251837730408,1.0910996198654177,0.4874708950519562,0.4922437071800232,0.14984512014364035,0.1396272551692793,43.2044900894165,1.2337816496035834,3.765944427103974,0.014228029005729299,-0.0356109557576575,72.565,0.19688110423342198,0.27338739645861,0.259935337266753,0.192186233404674,0.08616255427101936,-0.022672072052955627,0.009568050866834085
