year,ifs,iso,country,region,income_group,lending_category,pvd,hhd,gg,cg,pop,emp,hc,ctfp,labsh,pl_c,pl_i,pl_g,pl_x,pl_m,debt,debt_imp,rgdpc,population,growth,log_growth
2009,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.1662270537474234,0.1148417591158404,21750850.999999996,10853535.652160645,3.4397735595703125,0.8555517792701721,0.5771031379699707,1.0055711269378662,1.0031461715698242,1.192119598388672,0.5807456970214844,0.6590204834938049,0.1662270537474234,0.1662270537474234,44686.5414,21593.47094,0.005963329967518884,0.005945619688647798
2010,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.20351624171935448,0.14231129510102422,22154678.999999996,11121260.643005371,3.4289608001708984,0.8852396011352539,0.5749547481536865,1.1794027090072632,1.2530971765518188,1.4271968603134155,0.6030409336090088,0.6734293699264526,0.20351624171935448,0.20351624171935448,45400.2234,21895.65708,0.015970848887401266,0.015844656704706347
2011,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.24047295432945337,0.1698387717630868,22538000.999999996,11326355.934143066,3.442167043685913,0.9117234349250792,0.5754212737083435,1.3301845788955688,1.4584252834320068,1.596110224723816,0.628626823425293,0.6908031702041626,0.24047295432945337,0.24047295432945337,46132,22241.29482,0.016118347999142166,0.015989826623650824
2012,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.2753389515617544,0.19234094537505933,22903948,11449159.622192385,3.4554243087768555,0.8575061559677124,0.5824652910232544,1.3576244115829468,1.4362764358520508,1.6866167783737185,0.6301993727684021,0.6881856918334961,0.2753389515617544,0.2753389515617544,46999,22642.2346,0.018793895777334604,0.018619472524271628
2013,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.3048484968263643,0.21244424780115112,23254913,11553935.050964355,3.4687328338623047,0.8564615845680237,0.5820971727371216,1.2938754558563232,1.2028104066848757,1.6299569606781006,0.6586058139801025,0.6768085360527039,0.3048484968263643,0.3048484968263643,47250,23007.62306,0.005340539160407668,0.005326329051787935
2014,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.34045452066543874,0.24592745963713708,23596424,11667239.18914795,3.4820923805236816,0.8187790513038635,0.5960260033607483,1.2389458417892456,1.1282509565353394,1.514423370361328,0.6655995845794678,0.6972607970237732,0.34045452066543874,0.34045452066543874,47867,23345.36051,0.013058201058201059,0.012973677770316064
2015,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.3775173519983789,0.28452028407717644,23932502,11908493.041992188,3.4955034255981445,0.7814154028892517,0.6040282845497131,1.0629249811172483,1.041885256767273,1.2365162372589111,0.5970895886421204,0.6349287629127502,0.3775173519983789,0.3775173519983789,48357,23686.06057,0.01023669751603401,0.010184657372835854
2016,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.4059348203010241,0.3162437041332678,24262712,12071554.18395996,3.5089662075042725,0.8208933472633362,0.5838769674301147,1.0485671758651731,1.0450856685638428,1.2166502475738523,0.5889284014701843,0.6319633722305298,0.4059348203010241,0.4059348203010241,48845,24086.01281,0.010091610314949232,0.01004103002200215
2017,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.4118076351874833,0.32377926684973596,24584619.999999996,12324088.096618652,3.5224807262420654,0.8481066226959229,0.579755961894989,1.110298991203308,1.1416717767715454,1.2518728971481323,0.5960971713066101,0.6853601932525635,0.4118076351874833,0.4118076351874833,49265.6135,24466.21433,0.00861118845327054,0.008574323651974958
2018,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.4176247011064539,0.329154059329412,24898152,12619437.217712402,3.5360474586486816,0.8583554029464722,0.5716451406478882,1.1019489765167236,1.1500552892684937,1.240566372871399,0.614300012588501,0.7162479162216187,0.4176247011064539,0.4176247011064539,49830.7993,24855.30367,0.011472216823200614,0.011406909945612883
2019,193,AUS,Australia,East Asia & Pacific,High income,NA,NA,NA,0.4674403929392227,0.3658144583079396,25203198,12863174.438476564,3.549666166305542,0.8379027247428894,0.5716451406478882,1.0433584451675415,1.0999841690063477,1.167582392692566,0.6082680225372314,0.6940397024154663,0.4674403929392227,0.4674403929392227,NA,NA,NA,NA
1950,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.2092678804554601,6980751.367830716,2934920.310974121,2.552640438079834,NA,0.6329604387283325,0.06544448435306549,0.10216144472360612,0.04507464915513992,0.08872378617525101,0.09131753444671632,0.2092678804554601,0.2092678804554601,5907,6935.1,NA,NA
1951,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.14439415699053018,6981104.630171921,2990606.0695648193,2.5370359420776367,NA,0.6329604387283325,0.07677694410085678,0.11501064896583556,0.05736269801855087,0.10373353213071825,0.10890775173902512,0.14439415699053018,0.14439415699053018,6311,6935.451,0.06839343152192315,0.06615605427700438
