country,iso,debt_obs,debt_missing,debt_pct_obs,n_from_gg,n_from_cg,max_consec_gap,reason,gini_obs,gini_missing,gini_pct_obs,gini_mean_sd
Palau,NA,NA,NA,NA,NA,NA,NA,gini missing: 27 of 36,9,27,25,3.53
Palestinian Territories,NA,NA,NA,NA,NA,NA,NA,gini missing: 12 of 36,24,12,66.7,1.79
Papua New Guinea,NA,NA,NA,NA,NA,NA,NA,gini missing: 22 of 36,14,22,38.9,3.66
Paraguay,NA,NA,NA,NA,NA,NA,NA,gini missing: 6 of 36,30,6,83.3,1.11
Qatar,NA,NA,NA,NA,NA,NA,NA,gini missing: 6 of 36,30,6,83.3,3
Romania,NA,NA,NA,NA,NA,NA,NA,gini missing: 5 of 36,31,5,86.1,0.84
Russia,NA,NA,NA,NA,NA,NA,NA,gini missing: 4 of 36,32,4,88.9,0.92
Rwanda,NA,NA,NA,NA,NA,NA,NA,gini missing: 2 of 36,34,2,94.4,2.44
SÃ£o TomÃ© and PrÃ­ncipe,NA,NA,NA,NA,NA,NA,NA,gini missing: 18 of 36,18,18,50,3.05
Samoa,NA,NA,NA,NA,NA,NA,NA,gini missing: 24 of 36,12,24,33.3,2.76
San Marino,NA,NA,NA,NA,NA,NA,NA,gini missing: 23 of 36,13,23,36.1,2.01
Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,gini missing: 24 of 36,12,24,33.3,5.43
Senegal,NA,NA,NA,NA,NA,NA,NA,gini missing: 7 of 36,29,7,80.6,2.77
Serbia,NA,NA,NA,NA,NA,NA,NA,gini missing: 13 of 36,23,13,63.9,1.06
Seychelles,NA,NA,NA,NA,NA,NA,NA,gini missing: 16 of 36,20,16,55.6,3.28
Slovakia,NA,NA,NA,NA,NA,NA,NA,gini missing: 4 of 36,32,4,88.9,0.88
Slovenia,NA,NA,NA,NA,NA,NA,NA,gini missing: 3 of 36,33,3,91.7,0.87
Solomon Islands,NA,NA,NA,NA,NA,NA,NA,gini missing: 28 of 36,8,28,22.2,4.9
Somalia,NA,NA,NA,NA,NA,NA,NA,gini missing: 35 of 36,1,35,2.8,5
South Sudan,NA,NA,NA,NA,NA,NA,NA,gini missing: 28 of 36,8,28,22.2,4.4
Soviet Union,NA,NA,NA,NA,NA,NA,NA,gini missing: 29 of 36,7,29,19.4,1.64
St. Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,gini missing: 26 of 36,10,26,27.8,5.04
St. Lucia,NA,NA,NA,NA,NA,NA,NA,gini missing: 15 of 36,21,15,58.3,3.24
St. Vincent and Grenadines,NA,NA,NA,NA,NA,NA,NA,gini missing: 22 of 36,14,22,38.9,5.66
Suriname,NA,NA,NA,NA,NA,NA,NA,gini missing: 21 of 36,15,21,41.7,3.67
Syria,NA,NA,NA,NA,NA,NA,NA,gini missing: 12 of 36,24,12,66.7,3.1
Tajikistan,NA,NA,NA,NA,NA,NA,NA,gini missing: 4 of 36,32,4,88.9,2.49
Timor-Leste,NA,NA,NA,NA,NA,NA,NA,gini missing: 22 of 36,14,22,38.9,3.63
