spec,iso,country,income_group,status,best_order,n_obs,r2,adj_r2,aic,bic,sigma,lr_dd,sum_phi,f_stat,f_pvalue,ect_coef,ecm_r2
base,CIV,Cote d'Ivoire,Lower middle income,ok,"(2,2)",36,0.33777179343917324,0.2274004256790355,-227.39807431815908,-216.3134417489663,0.009274108562158418,-0.0026751428280442744,0.5080570253083169,2.855774598460308,0.3514488618221934,-0.491942974691683,0.732174259457726
base,COG,Congo,Lower middle income,ok,"(1,0)",42,0.6467028640222535,0.6285850621772409,-513.7688708540401,-506.8181923809066,5.037559043582627e-4,-9.907357366370534e-4,0.781244911150718,2.330790700332309,0.4691962947053726,-0.21875508884928163,0.1067662061501432
base,COL,Colombia,Upper middle income,ok,"(1,0)",42,0.154653846703086,0.11130276191862887,-251.30586792912675,-244.35518945599327,0.01146038279748277,0.001655313184744524,-0.4302342369597057,NA,NA,-1.430234236959705,0.6655079141880059
base,COM,Comoros,Lower middle income,ok,"(1,2)",37,0.8362505063718962,0.8157818196683833,-312.84695438528814,-303.1814469094228,0.003227100457171936,-0.02707646279766815,0.904995203114753,1.313692093728788,0.7370676107696432,-0.09500479688524728,0.40253563135691767
base,CPV,Cabo Verde,Lower middle income,ok,"(1,0)",41,0.7845302513634602,0.7731897382773265,-390.49292361400825,-383.63863534719104,0.0019486559900967133,-0.008839266594946096,0.882931334605509,1.2461766125867182,0.7552433677149953,-0.11706866539449119,0.061551207244334216
base,CRI,Costa Rica,Upper middle income,ok,"(1,0)",42,0.047884282330233716,-9.421647297542801e-4,-230.90568821957348,-223.95500974644,0.0146107183934715,0.014234999001110776,-0.17687364217571777,NA,NA,-1.1768736421757178,0.5907136811500425
base,CYP,Cyprus,High income,ok,"(1,0)",42,0.13026211812127494,0.08566017546082749,-202.57042521728158,-195.6197467441481,0.020472447453217944,0.03576571945595281,-0.30468376502518396,NA,NA,-1.304683765025184,0.6604770529558712
base,CZE,Czech Republic,High income,ok,"(1,0)",29,0.22256385074325022,0.16276107003119267,-197.03013100560236,-191.56094768565646,0.007451490899011473,-0.002172660698487739,-0.4446086508470471,NA,NA,-1.444608650847048,0.7474267278366912
base,DEU,Germany,High income,ok,"(1,0)",42,0.11604485737307542,0.07071382441784857,-300.4975986663689,-293.54692019323545,0.0063807157114335,-0.017993257340057082,0.3034236697002347,10.571868833053665,0.0011673868595456188,-0.6965763302997652,0.35155343659365584
base,DMA,Dominica,Upper middle income,ok,"(1,0)",32,0.6821047924235287,0.6601809850044618,-338.8953193969847,-333.0323757857858,0.0011250161786848806,-0.011642676597097406,0.8061739461265793,1.9454529166566583,0.567397847805813,-0.19382605387342064,0.11829731455350924
base,DNK,Denmark,High income,ok,"(1,0)",52,0.013186076540883641,-0.027092042783978254,-360.5531956036312,-352.7482207293055,0.00720480186236685,-0.004141489860334526,0.06028706371370002,NA,NA,-0.9397129362862999,0.49521603426474636
base,DZA,Algeria,Lower middle income,ok,"(1,0)",42,0.18778350117927145,0.14613137303461865,-289.74352028473754,-282.7928418116041,0.007252201037554556,-4.99283743918623e-4,0.4327033978617405,7.713153087680017,0.011293020856682332,-0.5672966021382597,0.2834347443248658
base,ECU,Ecuador,Upper middle income,ok,"(1,0)",32,0.2271429783051911,0.17384249405037666,-157.64854451835924,-151.78560090716033,0.019101717912766488,0.02352942542062615,-0.3835762188442617,NA,NA,-1.3835762188442622,0.7256252337265856
base,EGY,Egypt,Lower middle income,ok,"(1,0)",42,0.33004024285805017,0.2956833322353861,-334.1331537994158,-327.1824753262824,0.004275311632174491,-0.018864299234586133,0.5233825028695303,6.785829351138755,0.022524322254770416,-0.47661749713047014,0.2581554213295073
base,ESP,Spain,High income,ok,"(1,0)",42,0.013894263899061949,-0.036675261029191386,-312.9836762468145,-306.0329977736811,0.0054993862264528,0.00629845106845535,0.023415348012090755,NA,NA,-0.9765846519879082,0.5018336232326743
base,ETH,Ethiopia,Low income,ok,"(1,0)",42,0.515205879580923,0.4903446426363549,-274.9454491119096,-267.9947706387762,0.008649249274836126,0.009682004247240672,0.7103889575471034,3.31487916628404,0.2668408327823687,-0.2896110424528968,0.14529461857430256
base,FIN,Finland,High income,ok,"(2,2)",70,0.26951900632120873,0.21245017869005312,-478.8730569787659,-463.13359028442034,0.0074864969377530476,0.04193152657613134,0.3760099032234091,15.387022465760205,4.756702311668875e-5,-0.6239900967765905,0.5304193990922587
base,FJI,Fiji,Upper middle income,ok,"(1,0)",32,0.7582333077523311,0.7415597427697334,-319.7716434930504,-313.90869988185153,0.0015168030337343247,0.01506236970246316,0.8936721653667364,0.9192096709398594,0.8362011666529711,-0.1063278346332633,0.059614577566337104
base,FRA,France,High income,ok,"(1,1)",71,0.055008235039830544,0.012695170937136457,-483.2446623659852,-471.9312629807786,0.007723413382256769,0.0045490350317291105,-0.055548666930326424,NA,NA,-1.0555486669303267,0.5500823971672198
base,GAB,Gabon,Upper middle income,ok,"(1,0)",42,0.7822778889109187,0.771112652444812,-430.3492296059437,-423.39855113281027,0.001359922240839102,0.0033324932818660224,0.8860881604410523,1.2960631184440732,0.7416499977410168,-0.11391183955894724,0.062322522828592096
base,GBR,United Kingdom,High income,ok,"(1,0)",60,0.06611699489850624,0.03334917015810279,-395.71684501003773,-387.3394667611493,0.008586200755206686,-0.008084350397819212,-0.24440056809674612,NA,NA,-1.2444005680967467,0.6225931467938713
base,GHA,Ghana,Lower middle income,ok,"(1,0)",42,0.4255475494271346,0.3960884493977569,-366.99901621481393,-360.0483377416805,0.0028909834238132997,0.0030183662756330617,0.6710210878280242,4.228774583241782,0.14716891070471885,-0.32897891217197567,0.1782129358769464
base,GIN,Guinea,Lower middle income,ok,"(1,2)",31,0.707920787653054,0.6629855242150624,-235.36538663541754,-226.76146340850664,0.004889048865024475,-0.0012128155803214143,0.7165292420273344,4.868072555506344,0.09441564258408233,-0.2834707579726653,0.28025189629310127
base,GMB,Gambia,Low income,ok,"(1,0)",42,0.5598389323900828,0.5372665699485486,-348.3253074467699,-341.37462897363645,0.003610704068159152,-1.964824660894167e-4,0.7479952079695856,2.808498748557483,0.36098269641991687,-0.25200479203041437,0.12589366860641327
base,GNB,Guinea-Bissau,Low income,ok,"(1,1)",36,0.6868121539081512,0.6574507933370404,-230.30169064950215,-222.3840959572216,0.009117400972287408,0.14576945476819148,0.834804205138211,6.740053482365725,0.023408932823782893,-0.16519579486178926,0.4002516141719948
base,GNQ,Equatorial Guinea,Upper middle income,ok,"(1,1)",42,NA,NA,-Inf,-Inf,0,0,0,NA,NA,NA,NA
base,GRC,Greece,High income,ok,"(1,0)",55,0.060901283528637495,0.024782102125892713,-348.95422229548115,-340.92488955455127,0.009697063372780418,0.0063158998746281865,0.24895292703467006,NA,NA,-0.7510470729653299,0.37896135279704213
base,GRD,Grenada,Upper middle income,ok,"(1,1)",42,0.7575157765062537,0.7383722851778001,-456.71878816586815,-448.0304400744513,9.828315128052926e-4,0.008389189385332178,0.8498506024948295,1.8997910699268692,0.5787773507785551,-0.15014939750517087,0.13692449490786399
base,GTM,Guatemala,Upper middle income,ok,"(1,0)",42,0.09063929390273082,0.044005411538768247,-321.0683310698866,-314.11765259675315,0.004994766179380228,0.002757198257133865,-0.2730353236674444,NA,NA,-1.2730353236674443,0.6470561851425612
base,GUY,Guyana,High income,ok,"(1,0)",42,0.09528606932662786,0.04889048313824973,-321.2834986166864,-314.33282014355296,0.004981988366125345,0.0024867628097131928,-0.29153310576755415,NA,NA,-1.2915331057675539,0.6488597056090818
base,HND,Honduras,Lower middle income,ok,"(1,0)",42,0.083204072264769,0.03618889648347512,-320.72632203451616,-313.7756435613827,0.005015144006746547,-2.135373522393601e-4,-0.288545943013602,NA,NA,-1.288545943013602,0.6441704045368923
base,HTI,Haiti,Lower middle income,ok,"(1,0)",42,0.08612361035889196,0.039258154479860696,-320.8602845167642,-313.90960604363073,0.0050071522722061204,-8.202403285596841e-4,-0.27828209191495307,NA,NA,-1.2782820919149536,0.6453035444511777
base,HUN,Hungary,High income,ok,"(1,0)",33,0.05011607082927968,-0.013209524448768217,-214.28067518422023,-208.2946449383543,0.008745880746883001,-0.015531697240911786,0.22992857065250555,11.428713178117583,8.546790486673793e-4,-0.7700714293474945,0.43243547656267683
