spec,n,phi_mg,se_mg,t_stat,p_value,median_phi,income_group,sig,q25,q75
base,155,0.003069197505343231,0.0038732957163954826,0.7923994783954809,0.4293467554132274,-9.182934825378032e-4,All,,NA,NA
base,42,-0.0025756360765884375,0.005392936508202263,-0.4775943630471233,0.6354753279408148,-0.005662856643699552,High income,,-0.02272073051738454,0.0019141614363431154
base,41,0.015035724620277042,0.012748860590193327,1.179377914905024,0.245215081359906,0.0010958161566190828,Low income,,-0.007981634748498369,0.01288656697668834
base,39,0.004483420646397575,0.003848830292569185,1.1648787568143946,0.25132887806369353,-1.2696700699273174e-4,Lower middle income,,-0.008277055955435274,0.016992536327272503
base,33,-0.006285326851392392,0.002974310218480127,-2.113204874306687,0.042474074407973864,-0.0019894895375149597,Upper middle income,**,-0.013775930240687675,0.00208884267810134
cs_base,155,-9.681848127785939e-4,0.0028198690105231097,-0.34334389617586786,0.7318080326304277,6.6356456384795e-5,All,,NA,NA
cs_base,42,0.00121095785804665,0.005630605294083372,0.21506708334166522,0.8307812525914753,-0.0043276585822865,High income,,-0.018300423886758843,0.008169541887838272
cs_base,41,-0.004155765856417519,0.0076737219448484075,-0.5415580452725949,0.591126935185275,0.0018203189739931355,Low income,,-0.007207177912269522,0.01233615966627918
cs_base,39,0.0016402903670596,0.004488534649765081,0.3654400589612133,0.716809307552178,0.002382665265738039,Lower middle income,,-0.00991198956324392,0.0161097805668841
cs_base,33,-0.002864054552146893,0.002714566013825093,-1.0550690377616405,0.29929488086457495,9.4703292045209e-4,Upper middle income,,-0.012759645895645376,0.0053448256875832925
cs_ctrl,155,0.2651151196682517,0.24845406099847722,1.0670589106204087,0.2876151680512018,-0.002422658772001765,All,,NA,NA
cs_ctrl,42,0.006731590238007851,0.06610615434215257,0.10183000818904776,0.9193879987356701,-0.010393950945232197,High income,,-0.0791714930552686,0.04725946621987305
cs_ctrl,41,0.8993148020438269,0.9308757934926378,0.9660953784925544,0.3398014945061847,-0.004613741331961886,Low income,,-0.05487566040051241,0.11875095557732933
cs_ctrl,39,0.0035466668022208605,0.02333031833781733,0.15201964889059758,0.879975704834967,-0.004463320678874929,Lower middle income,,-0.02426353217212237,0.039509139011044324
cs_ctrl,33,0.11514817786361116,0.1421413171263771,0.8100964602799728,0.42386834990636535,0.0016993851045572156,Upper middle income,,-0.023619658806142398,0.027735840394883176
ctrl,155,2.4315429072682235e-4,0.006593530519531373,0.036877707626672855,0.9706302741744796,-0.0015387127058058808,All,,NA,NA
ctrl,42,-0.007121727283168549,0.007330495205071595,-0.9715206249969838,0.3369860183644279,-0.005395958300195061,High income,,-0.023902794941969174,0.011476985650795603
ctrl,41,0.00856264044777107,0.022961738871837077,0.3729090595256825,0.7111849886261082,-5.879963044877481e-4,Low income,,-0.021564216162592076,0.012877567960535337
ctrl,39,0.0071885060239910105,0.004713116595692187,1.5252128560879104,0.1354866485580104,-3.900086377245597e-4,Lower middle income,,-0.009102047125341631,0.010660992187743478
ctrl,33,-0.00892783431328869,0.0059858608879800644,-1.4914871027517977,0.14562690691879526,-0.005875086585286215,Upper middle income,,-0.02422548058040739,0.009121168695463816
ext,87,-0.01667694174155484,0.017656177452795088,-0.9445386344887903,0.3475406036384895,-7.334269314274795e-4,All,,NA,NA
ext,30,-0.059112330388331885,0.046760048836474916,-1.2641631448045376,0.2162382209311001,-0.0068330799288508735,High income,,-0.04781894092149006,0.014874771484544887
ext,17,0.010867217049903712,0.034414398875197406,0.31577529769772494,0.7562547775625366,0.008352184613450931,Low income,,-0.02345229722407313,0.03095417504201983
ext,25,0.005740384462512327,0.005154246934559762,1.1137193338608695,0.27642971630025415,0,Lower middle income,,-0.008590014208013266,0.018591387730395342
ext,15,-3.850880850990449e-4,0.006413488124057538,-0.0600434705187255,0.952969711393682,-0.001119722110413306,Upper middle income,,-0.015041557437562164,0.005672846292891203
