spec,iso,country,income_group,variable,sum_beta,lr_multiplier
base,KEN,Kenya,Low income,dd,-0.13369737714321017,-0.20049799941373134
base,KGZ,Kyrgyzstan,Low income,dd,0.012599973598462922,0.01288656697668834
base,KHM,Cambodia,Low income,dd,-0.023763321729282746,-0.0232093762071756
base,KNA,Saint Kitts and Nevis,Upper middle income,dd,3.111731493678323e-4,0.0030309759121190305
base,KWT,Kuwait,High income,dd,-0.004227256985938989,-0.004075314029617093
base,LAO,Lao PDR,Low income,dd,-0.005089958108676086,-0.012264935391612152
base,LBN,Lebanon,Upper middle income,dd,-0.009533647228167809,-0.009614763773631987
base,LCA,Saint Lucia,Upper middle income,dd,-9.546764514845966e-4,-0.012936487362729331
base,LKA,Sri Lanka,Lower middle income,dd,0.004146394821329979,0.010044564146767604
base,LSO,Lesotho,Lower middle income,dd,-0.002687785589605383,-0.0112612697361594
base,LTU,Lithuania,Upper middle income,dd,-0.051887075894504295,-0.04584767119037359
base,LUX,Luxembourg,High income,dd,-0.038472760766099214,-0.03335278226812064
base,LVA,Latvia,High income,dd,-0.012166288018012568,-0.011556612716985451
base,MAR,Morocco,Lower middle income,dd,0,0
base,MDA,Moldova,Lower middle income,dd,-0.010814692021983655,-0.028388744021528994
base,MDG,Madagascar,Low income,dd,-0.014724558343790554,-0.029328277869748096
base,MDV,Maldives,Lower middle income,dd,0.011503392478134797,0.08685531654119817
base,MEX,Mexico,Upper middle income,dd,0.022598972957895345,0.016054269964130993
base,MKD,North Macedonia,Lower middle income,dd,-0.05318149746633322,-0.04910645913229266
base,MLI,Mali,Low income,dd,0.007794522542819102,0.027451196596045276
base,MLT,Malta,High income,dd,-0.004799776880343857,-0.0030734222329152996
base,MMR,Myanmar,Low income,dd,-0.002864811716088026,-0.005356691135596448
base,MRT,Mauritania,Low income,dd,-0.036782542049858986,-0.06015388156819892
base,MUS,Mauritius,Upper middle income,dd,-0.0043144717927978615,-0.016313420621711563
base,MWI,Malawi,Low income,dd,-0.008638976992355609,-0.03867177627853198
base,MYS,Malaysia,Upper middle income,dd,-0.02643365556471464,-0.02640138843204411
base,NAM,Namibia,Lower middle income,dd,0.004989441384931701,0.027401586779709837
base,NER,Niger,Low income,dd,0.034039132706684405,0.07305426580389579
base,NGA,Nigeria,Low income,dd,0.001881248324434666,0.007870842684041968
base,NLD,Netherlands,High income,dd,-0.049041459147890994,-0.03648655673160687
base,NOR,Norway,High income,dd,-0.003655915485868424,-0.002851890746312634
base,NPL,Nepal,Low income,dd,0.014519519836705798,0.038897375678480735
base,NZL,New Zealand,High income,dd,0.048915898086670365,0.0470862846738731
base,OMN,Oman,Upper middle income,dd,0,0
base,PAK,Pakistan,Low income,dd,-0.026805536259160746,-0.03544059650603295
base,PAN,Panama,Upper middle income,dd,-0.0011206580757555172,-9.182934825378032e-4
base,PHL,Philippines,Lower middle income,dd,0.009970619114281307,0.01509608701114113
base,POL,Poland,High income,dd,-0.05561775242442767,-0.04859120916880334
base,PRT,Portugal,High income,dd,-0.02274268416672518,-0.01872539857877119
base,PRY,Paraguay,Lower middle income,dd,-1.5473710537531333e-4,-1.2696700699273174e-4
